,Kazakhstan,Kyrgyzstan,Tajikistan,Turkmenistan,Uzbekistan
2000,9176.62,6179.82,14465.4,11797.1,10372.9
2001,11720.3,6586.47,14351.8,11047.4,9842.46
2002,13772.9,6711.86,14570.6,12710.5,11606.9
2003,18623.6,6276.84,14647.9,12603.9,11535.4
2004,15327.7,6672.38,14177.9,12690.8,12068.8
2005,15813.7,6287.07,14326.8,12542.7,10522.8
2006,11628.5,6219.89,14194.1,12514.3,11880
2007,10798.9,6443.59,14252.7,12160.2,8722.16
2008,8695.53,6418.74,13592.6,10881.1,7990.74
2009,9728.86,6063.22,13765.5,10777,9040.71
2010,9264,6191.57,13762.5,11697.8,10215.9
2011,11675.5,7566.52,13145,11893.2,9245
2012,12088,6882.48,13963.6,13673.5,9844.96
2013,12518.2,7162.74,13335.2,13219.3,11927.2
