,Kazakhstan,Kyrgyzstan,Tajikistan,Turkmenistan,Uzbekistan
2000,6039.32,3118.52,8974.65,20273.1,48867
2001,7092.31,3244.44,8934.51,18984.9,46196.3
2002,8346.15,3300,8937.32,21842.9,55553.2
2003,11333.3,3086.11,9139.44,22115.1,57200.9
2004,9353.85,3243.52,9035.92,22555.5,59380.7
2005,9650.43,3062.04,9322.54,22566.4,51928.4
2006,7116.24,3012.04,9426.06,22799.2,58789.9
2007,6608.55,3120.37,9454.93,22195,43114.7
2008,5492.31,3108.33,9352.11,19924.4,39572.5
2009,6194.87,2930.56,9509.86,19815.1,44822
2010,5938.46,2992.59,9469.01,21498.3,51398.2
2011,7504.27,3264.81,9062.68,19089.1,42823.9
2012,7635.04,2982.41,8653.52,22314.3,49983.5
2013,7928.21,3097.22,8235.92,22084,48989
