Country,Indicator,Year,Value,Unit,Indicator Classification
Afghanistan,Country total area,2009,"65,223,000",ha  ,Physical areas
Afghanistan,Cultivated area (arable land and area under permanent crops),2009,"7,910,000",ha,Physical areas
Afghanistan,Cultivated area as % of the total area of the country,2009,12,%,Physical areas
Afghanistan,Arable land (annual crops + temp fallow + temp meadows),2009,"7,793,000",ha,Physical areas
Afghanistan,Area under permanent crops,2009,"117,000",ha,Physical areas
Afghanistan,Total population ,2011,"32,358,000",inhabitants,Population
Afghanistan,Rural population,2011,77,%,Population
Afghanistan,Population density,2011,50,inhab/kmå_,Population
Afghanistan,Economically active population,2011,"10,474,000",inhabitants,Population
Afghanistan,Economically active population as % of total population,2011,32,%,Population
Afghanistan,female % of total economically active population,2011,24,%,Population
Afghanistan,male % of total economically active population,2011,76,%,Population
Afghanistan,Population economically active in agriculture,2011,"6,217,000",inhabitants,Population
Afghanistan,Agricultural population as % of total economically active population,2011,59,%,Population
Afghanistan,female % of total economically active agricultural population,2011,32,%,Population
Afghanistan,male % of total economically active agricultural population,2011,68,%,Population
Afghanistan,Gross Domestic Product (GDP) (current US$),2010,"17,243",million US$/yr,Economy and development
Afghanistan,value added in agriculture (% of GDP),2010,30,%,Economy and development
Afghanistan,GDP per capita,2010,549,US$/yr,Economy and development
Afghanistan,Human Development Index (highest = 1),2011,0.398,,Economy and development
Afghanistan,Total population with access to improved drinking water sources,2010,50,%,Economy and development
Afghanistan,Urban population with access to improved drinking water sources,2010,78,%,Economy and development
Afghanistan,Rural population with access to improved drinking water sources,2010,42,%,Economy and development
Afghanistan,Precipitation (long-term average),- ,327,mm/yr,Renewable freshwater resources
Afghanistan,Precipitation (average volume),- ,"213,300",million m3/yr,Renewable freshwater resources
Afghanistan,Internal renewable water resources (long-term average),- ,"47,150",million m3/yr,Renewable freshwater resources
Afghanistan,Total actual renewable water resources,- ,"65,330",million m3/yr,Renewable freshwater resources
Afghanistan,Dependency ratio,- ,29,%,Renewable freshwater resources
Afghanistan,Total actual renewable water resources per inhabitant,2011,"2,019",m3/yr,Renewable freshwater resources
Afghanistan,Total dam capacity,2009,"3,658",million m3,Renewable freshwater resources
Afghanistan,Total water withdrawal by sector ,1998,"20,373",million m3/yr,Water withdrawal
Afghanistan,Agricultural water withdrawal,1998,"20,000",million m3/yr,Water withdrawal
Afghanistan,Municipal water withdrawal,2005,203,million m3/yr,Water withdrawal
Afghanistan,Industrial water withdrawal,2005,170,million m3/yr,Water withdrawal
Afghanistan,Per inhabitant water withdrawal,1998,937,m3/yr,Water withdrawal
